distance,total_duration_min,avg_speed_kmph,num_classes_offered,num_halts,halts_per_100km,departure_hour,is_night_departure,zone_clean,has_return_train,first_ac,second_ac,third_ac,sleeper,chair_car,first_class,type_clean,name,number
712.0,915.0,46.68852459016394,4,93,13.061797752808989,19,0,SWR,1,1,1,1,1,0,0,Express,Bijapur Express,06535
712.0,935.0,45.68983957219251,4,93,13.061797752808989,17,0,SWR,1,1,1,1,1,0,0,Express,Bijapur-Yesvantpur Special,06536
67.0,95.0,42.31578947368421,0,10,14.925373134328357,6,0,SWR,1,0,0,0,0,0,0,Passenger,Yesvantpur-Hosur Passenger Special,06591
67.0,100.0,40.199999999999996,0,10,14.925373134328357,8,0,SWR,1,0,0,0,0,0,0,Passenger,Hosur-Yesvantpur Passenger,06592
67.0,95.0,42.31578947368421,0,10,14.925373134328357,17,0,SWR,1,0,0,0,0,0,0,Passenger,Hosur-Yesvantpur Passenger Special,06594
36.0,65.0,33.23076923076923,0,7,19.444444444444446,10,0,SWR,1,0,0,0,0,0,0,Passenger,Yesvantpur-Devanhalli Special,06595
36.0,70.0,30.857142857142854,0,7,19.444444444444446,13,0,SWR,1,0,0,0,0,0,0,Passenger,Devanahalli-Yesvantpur Special,06596
497.0,620.0,48.096774193548384,3,89,17.90744466800805,20,0,SR,1,0,1,1,1,0,0,Express,Coimbatore-Nagercoil Special,06617
497.0,705.0,42.297872340425535,3,89,17.90744466800805,20,0,SR,1,0,1,1,1,0,0,Express,Nagercoil-Coimbatore Special,06618
440.0,440.0,60.0,1,58,13.18181818181818,6,0,SR,1,0,0,0,0,1,0,Superfast,Coimbatore-Yesvantpur SF Special,06621
440.0,445.0,59.32584269662921,1,58,13.18181818181818,14,0,SR,1,0,0,0,0,1,0,Superfast,Yesvantpur-Coimbatore SF Special,06622
61.0,80.0,45.75,0,9,14.754098360655737,18,0,SR,1,0,0,0,0,0,0,Passenger,Karaikkudi Manamadurai Passenger,06837
61.0,80.0,45.75,0,9,14.754098360655737,7,0,SR,1,0,0,0,0,0,0,Passenger,Manamadurai Karaikkudi Passenger,06838
90.0,140.0,38.57142857142857,0,13,14.444444444444445,15,0,SR,1,0,0,0,0,0,0,Passenger,Tiruchirappalli Karaikkudi Passenger Special,06839
90.0,145.0,37.24137931034483,0,13,14.444444444444445,9,0,SR,1,0,0,0,0,0,0,Passenger,Karaikkudi-Tiruchirappalli Passenger Special,06840
236.0,450.0,31.466666666666665,2,32,13.559322033898306,23,1,Unknown,0,0,0,1,1,0,0,Express,Hubli Jn - Vasco Da Gama Link Express,06948
996.0,1140.0,52.421052631578945,3,119,11.947791164658634,10,0,SCR,1,0,1,1,1,0,0,Express,Hyderabad-Korba Special,07003
999.0,1245.0,48.144578313253014,3,119,11.911911911911911,8,0,SCR,1,0,1,1,1,0,0,Express,Korba-Hyderabad Special,07004
2033.0,2355.0,51.796178343949045,3,246,12.100344318740778,22,1,SCR,1,0,1,1,1,0,0,Express,Ajmer - Hyderabad Special,07105
29.0,55.0,31.636363636363637,0,19,65.51724137931035,6,0,SR,0,0,0,0,0,0,0,Passenger,Chennai Beach Tambaram EMU,40005
168.0,270.0,37.333333333333336,0,20,11.904761904761905,6,0,NER,1,0,0,0,0,0,0,Passenger,Shahganj Ballia Passenger,55138
96.0,150.0,38.4,0,14,14.583333333333334,17,0,SR,1,0,0,0,0,0,0,Passenger,Kottayam Kollam Passenger,56393
998.0,1395.0,42.924731182795696,3,127,12.725450901803606,7,0,SCR,1,0,1,1,1,0,0,Express,Shahu Maharaj T. Kolhapur - Hyderabad Special,07144
276.0,475.0,34.863157894736844,1,21,7.608695652173914,22,1,SWR,0,0,0,0,1,0,0,Express,Mysore Shimoga Express,07301
185.0,285.0,38.94736842105263,0,20,10.81081081081081,7,0,SCR,1,0,0,0,0,0,0,Passenger,Adilabad-Nanded Special,07403
185.0,270.0,41.111111111111114,0,20,10.81081081081081,15,0,SCR,1,0,0,0,0,0,0,Passenger,Nanded-Adilabad Special,07404
114.0,200.0,34.199999999999996,0,32,28.070175438596493,9,0,SCR,1,0,0,0,0,0,0,Passenger,Kacheguda Kamareddi Special,07603
52.0,55.0,56.72727272727273,0,6,11.538461538461538,12,0,SCR,1,0,0,0,0,0,0,Passenger,Kamareddi-Nizamabad Passenger Special,07605
52.0,55.0,56.72727272727273,0,6,11.538461538461538,14,0,SCR,1,0,0,0,0,0,0,Passenger,Nizamabad-Kamareddi Special,07606
239.0,245.0,58.530612244897966,0,29,12.13389121338912,5,0,SCR,1,0,0,0,0,0,0,Express,Secunderabad - Mancherial Special,07607
239.0,240.0,59.75,0,29,12.13389121338912,10,0,SCR,1,0,0,0,0,0,0,Express,Mancherial - Secunderabad Special,07608
39.0,35.0,66.85714285714285,1,7,17.94871794871795,10,0,SER,1,0,0,0,0,1,0,Express,Kharagpur-Jhargram Express Special,08001
39.0,55.0,42.54545454545455,1,7,17.94871794871795,18,0,SER,1,0,0,0,0,1,0,Express,Jhargram-Kharagpur Special,08002
2111.0,2300.0,55.0695652173913,3,312,14.7797252486973,0,1,SER,1,0,1,1,1,0,0,Express,Mysore - Howrah Special,08004
38.0,50.0,45.6,0,7,18.42105263157895,5,0,Unknown,1,0,0,0,0,0,0,Passenger,Kharagpur- Jhargram MEMU Special,08017
38.0,55.0,41.45454545454545,0,7,18.42105263157895,22,1,SER,1,0,0,0,0,0,0,Passenger,Jhargram - Kharagpur MEMU Special,08018
1595.0,1785.0,53.61344537815126,3,237,14.858934169278998,17,0,SER,1,0,1,1,1,0,0,Express,Kolkata Shalimar-Haridwar Puja Special,08043
38.0,38.0,60.0,0,7,18.42105263157895,6,0,Unknown,1,0,0,0,0,0,0,Passenger,Kharagpur- Jhargram MEMU Special,08051
38.0,40.0,57.0,0,7,18.42105263157895,18,0,SER,1,0,0,0,0,0,0,Passenger,Jhargram - Kharagpur MEMU Special,08052
1616.0,1570.0,61.75796178343949,3,265,16.39851485148515,15,0,SER,1,0,1,1,1,0,0,Superfast,Shalimar-Tirupati Special,08055
470.0,855.0,32.98245614035088,0,60,12.76595744680851,16,0,SER,1,0,0,0,0,0,0,Passenger,Tatanagar Bilaspur Passenger,08113
470.0,1060.0,26.60377358490566,0,60,12.76595744680851,18,0,SER,1,0,0,0,0,0,0,Passenger,Bilaspur Tatanagar Passenger,08114
1529.0,1935.0,47.41085271317829,1,208,13.603662524525834,14,0,ECoR,1,0,0,1,0,0,0,Express,Puri-Bangalore weekly Garib Rath special,08469
1529.0,1795.0,51.108635097493035,1,208,13.603662524525834,23,1,ECoR,1,0,0,1,0,0,0,Express,Bangalore-Puri Garib Rath Special,08470
1205.0,1320.0,54.77272727272727,3,180,14.937759336099584,11,0,ECoR,1,0,1,1,1,0,0,Express,Bhubaneswar - Tirupati Weekly Special,08471
1205.0,1440.0,50.208333333333336,3,180,14.937759336099584,14,0,ECoR,1,0,1,1,1,0,0,Express,Tirupati - Bhubaneswar Weekly Special,08472
701.0,800.0,52.574999999999996,3,102,14.550641940085592,19,0,ECoR,1,0,1,1,1,0,0,Express,Visakhapatnam-Secunderabad Special,08565
701.0,765.0,54.98039215686274,3,102,14.550641940085592,21,0,ECoR,1,0,1,1,1,0,0,Express,Secunderabad Vishakaptnam Special,08566
1403.0,1770.0,47.559322033898304,3,190,13.5424091233072,5,0,ECoR,1,0,1,1,1,0,0,Express,Visakhapatnam Sainagar Shirdi special,08567
1405.0,1705.0,49.44281524926686,3,190,13.523131672597865,18,0,ECoR,1,0,1,1,1,0,0,Express,Shirdi-Visakhapatnam Weekly Special,08568
1568.0,1830.0,51.40983606557377,3,239,15.24234693877551,9,0,ECoR,0,0,1,1,1,0,0,Express,Visakhapatnam-Kollam Sabarimalai Special,08569
88.0,125.0,42.239999999999995,0,18,20.454545454545453,18,0,SECR,1,0,0,0,0,0,0,Passenger,Dalli Rajhara Durg Pass,08786
37.0,60.0,37.0,0,9,24.324324324324326,9,0,SECR,1,0,0,0,0,0,0,Passenger,Raipur-Durg Special,08787
37.0,60.0,37.0,0,18,48.64864864864865,8,0,SECR,1,0,0,0,0,0,0,Passenger,Durg-Raipur Special,08788
491.0,485.0,60.74226804123711,3,99,20.162932790224033,21,0,WR,1,0,1,1,1,0,0,Superfast,Ahmedabad Mumbai Central Superfast Special,09002
1955.0,1965.0,59.69465648854962,4,317,16.214833759590793,16,0,WR,1,1,1,1,1,0,0,Superfast,BANDRA TERMINUS - JAMMU TAWI AC Suvidha Special (Starts 4 April),09021
1467.0,1770.0,49.728813559322035,3,179,12.201772324471712,19,0,WR,1,0,1,1,1,0,0,Express,Valsad-Varanasi Weekly Special,09051
1694.0,2080.0,48.86538461538462,3,248,14.639905548996458,23,1,WR,1,0,1,1,1,0,0,Express,Porbandar Secunderabad Weekly Special,09221
980.0,1220.0,48.196721311475414,2,151,15.408163265306122,23,1,WR,1,0,1,0,1,0,0,Express,Bandra Terminus Okha Weekly Special,09561
852.0,905.0,56.48618784530387,4,85,9.976525821596244,18,0,NWR,1,0,1,1,1,0,1,Express,Hanumangarh Kota Special,09733
852.0,965.0,52.97409326424871,4,85,9.976525821596244,16,0,NWR,1,0,1,1,1,0,1,Express,Kota Hanumangarh Special,09734
1680.0,1960.0,51.42857142857143,3,217,12.916666666666666,22,1,CR,1,0,1,1,1,0,0,Express,Kushinagar Express,11015
362.0,400.0,54.3,1,66,18.23204419889503,7,0,SR,1,0,0,0,0,1,0,Premium,Coimbatore-Mayiladuturai Jan Shatabdi,12084
231.0,410.0,33.80487804878049,1,45,19.48051948051948,5,0,ER,1,0,0,0,0,1,0,Express,InterCity Express,13401
178.0,260.0,41.07692307692308,0,23,12.92134831460674,16,0,ER,1,0,0,0,0,0,0,Express,InterCity Express,13410
33.0,55.0,36.0,0,19,57.57575757575757,7,0,SR,0,0,0,0,0,0,0,Passenger,Chennai Beach Tambaram EMU(12 Car),40007
532.0,795.0,40.15094339622642,0,60,11.278195488721805,7,0,SR,1,0,0,0,0,0,0,Passenger,Coimbatore Nagercoil Passenger,56320
88.0,125.0,42.239999999999995,0,18,20.454545454545453,15,0,SECR,1,0,0,0,0,0,0,Passenger,Durg Dalli Rajhara Pass,08785
249.0,365.0,40.93150684931507,1,33,13.25301204819277,0,1,CR,1,0,0,0,1,0,0,Express,Bijapur Hubli Special,01494
1683.0,2080.0,48.54807692307693,3,248,14.735591206179443,14,0,WR,1,0,1,1,1,0,0,Express,Secunderabad-Porbandar Weekly Special,09222
1556.0,1950.0,47.87692307692308,2,217,13.946015424164523,19,0,WR,1,0,0,1,1,0,0,Express,Ahmedabad Yesvantpur (Weekly) Special,09405
1581.0,2000.0,47.43,3,217,13.72549019607843,5,0,WR,1,0,1,1,1,0,0,Express,Yeshwantpur-Ahmedabad Special,09406
980.0,1090.0,53.944954128440365,2,151,15.408163265306122,11,0,WR,1,0,1,0,1,0,0,Express,Okha - Bandra Terminus Weekly Special,09562
135.0,115.0,70.43478260869566,1,19,14.074074074074073,11,0,NWR,1,0,0,0,0,1,0,Superfast,Ajmer Jaipur SF Special,09621
135.0,115.0,70.43478260869566,1,19,14.074074074074073,14,0,NWR,1,0,0,0,0,1,0,Superfast,Jaipur Ajmer SF Special,09622
1744.0,2260.0,46.30088495575222,3,197,11.295871559633026,12,0,NWR,1,0,1,1,1,0,0,Express,Jaipur Solapur (Weekly) Special,09715
1744.0,2145.0,48.78321678321678,3,197,11.295871559633026,6,0,NWR,1,0,1,1,1,0,0,Express,Solapur - Jaipur Special,09716
303.0,270.0,67.33333333333333,3,51,16.831683168316832,6,0,NWR,1,0,1,1,0,1,0,Superfast,Jaipur Delhi Sarai Rohilla SF Special,09721
620.0,650.0,57.230769230769226,3,95,15.32258064516129,21,0,NWR,1,0,1,1,1,0,0,Superfast,Jaipur - Sabarmati SF Holiday Spl,09724
599.0,570.0,63.05263157894737,3,67,11.185308848080133,22,1,NWR,1,0,1,1,1,0,0,Express,Indore-Jaipur Special,09727
599.0,595.0,60.40336134453782,3,67,11.185308848080133,20,0,NWR,1,0,1,1,1,0,0,Express,Jaipur-Indore Special,09728
1666.0,1830.0,54.622950819672134,4,186,11.164465786314526,23,1,NWR,1,1,1,1,1,0,0,Express,Secunderabad-Jaipur Special,09735
1669.0,1845.0,54.27642276422764,4,186,11.144397843019771,21,0,NWR,1,1,1,1,1,0,0,Express,Jaipur - Secunderabad (Weekly) Special,09736
78.0,90.0,52.0,3,19,24.358974358974358,14,0,NWR,1,0,1,1,0,1,0,Express,Rewari - Delhi Sarai Rohilla (Daily) Special,09741
78.0,90.0,52.0,3,19,24.358974358974358,11,0,NWR,1,0,1,1,0,1,0,Express,Delhi Sarai Rohilla - Rewari (Daily) Special,09742
78.0,95.0,49.26315789473684,0,8,10.256410256410255,7,0,NWR,1,0,0,0,0,0,0,Passenger,Surathgarh Anupgarh Passenger,09761
76.0,95.0,48.0,0,6,7.894736842105263,18,0,NWR,1,0,0,0,0,0,0,Passenger,Suratgarh - Anupgarh Passenger Special,09762
78.0,95.0,49.26315789473684,0,8,10.256410256410255,20,0,NWR,1,0,0,0,0,0,0,Passenger,Surathgarh Anupgarh Passenger,09763
78.0,100.0,46.8,0,8,10.256410256410255,5,0,NWR,1,0,0,0,0,0,0,Passenger,Suratgarh - Anupgarh Passenger Special,09764
216.0,305.0,42.49180327868853,0,56,25.925925925925924,11,0,NWR,1,0,0,0,0,0,0,Passenger,Phulera Rewari Passenger Special,09765
216.0,305.0,42.49180327868853,0,56,25.925925925925924,9,0,NWR,1,0,0,0,0,0,0,Passenger,Rewari-Phulera Passenger Special,09766
187.0,410.0,27.365853658536587,1,18,9.62566844919786,12,0,SECR,1,0,0,0,0,0,1,Express,Satpura Express,10001
187.0,400.0,28.049999999999997,1,18,9.62566844919786,5,0,SECR,1,0,0,0,0,0,1,Express,Satpura Express,10002
765.0,710.0,64.64788732394366,4,75,9.80392156862745,6,0,KR,1,1,1,1,1,0,0,Express,MUMBAI CST - MADGAON Mandovi Exp,10103
765.0,720.0,63.75,4,75,9.80392156862745,9,0,KR,1,1,1,1,1,0,0,Express,MADGAON - MUMBAI CST Mandovi Exp,10104
765.0,700.0,65.57142857142857,4,75,9.80392156862745,23,1,KR,1,1,1,1,1,0,0,Express,MUMBAI CST - MADGAON Konkan Knaya Exp,10111
765.0,710.0,64.64788732394366,4,75,9.80392156862745,18,0,KR,1,1,1,1,1,0,0,Express,MADGAON - MUMBAI CST Konkan Knaya Exp,10112
850.0,805.0,63.35403726708075,4,105,12.352941176470589,21,0,KR,1,1,1,1,1,0,0,Express,Madgaon Ernakulam Weekly Super Fast Express,10215
850.0,805.0,63.35403726708075,4,105,12.352941176470589,14,0,KR,1,1,1,1,1,0,0,Express,Ernakulam Madgaon Weekly SF Express,10216
646.0,660.0,58.72727272727273,3,60,9.287925696594428,23,1,CR,1,0,1,1,1,0,0,Express,DADAR - SAWANTWADI RD Rajya Rani Exp,11003
646.0,740.0,52.37837837837838,3,60,9.287925696594428,18,0,CR,1,0,1,1,1,0,0,Express,SAWANTWADI RD - DADAR Rajya Rani Exp,11004
192.0,240.0,48.0,1,55,28.645833333333336,7,0,CR,1,0,0,0,0,1,0,Express,Deccan Express,11007
192.0,250.0,46.08,1,55,28.645833333333336,14,0,CR,1,0,0,0,0,1,0,Express,Sinhagad Express,11009
192.0,230.0,50.086956521739125,1,55,28.645833333333336,6,0,CR,1,0,0,0,0,1,0,Express,Sinhagad Express,11010
518.0,657.0,47.305936073059364,4,95,18.33976833976834,20,0,CR,1,1,1,1,1,0,0,Express,Mahalaxmi Express,11011
518.0,655.0,47.45038167938932,4,95,18.33976833976834,20,0,CR,1,1,1,1,1,0,0,Express,Mahalaxmi Express,11012
1518.0,1830.0,49.77049180327869,4,197,12.97760210803689,8,0,CR,1,1,1,1,1,0,0,Express,Coimbatore Mumbai LTT Express,11014
1680.0,1995.0,50.526315789473685,3,217,12.916666666666666,19,0,CR,1,0,1,1,1,0,0,Express,Kushinagar Express,11016
1205.0,1400.0,51.642857142857146,3,175,14.522821576763485,6,0,CR,1,0,1,1,1,0,0,Express,Chalukya Express,11018
1499.0,1985.0,45.30982367758186,0,246,16.410940627084724,19,0,ECR,1,0,0,0,0,0,0,Express,AMRITSAR - DARBHANGA Jan Nayak Exp,15212
33.0,55.0,36.0,0,19,57.57575757575757,7,0,SR,0,0,0,0,0,0,0,Passenger,Chennai Beach Tambaram EMU(12 Car),40013
231.0,450.0,30.8,0,44,19.047619047619047,12,0,SR,0,0,0,0,0,0,0,Passenger,Nagercoil Kottayam Passenger,56304
60.0,100.0,36.0,0,12,20.0,5,0,SR,1,0,0,0,0,0,0,Passenger,Kottayam Ernakulam Passenger,56386
60.0,100.0,36.0,0,12,20.0,17,0,SR,1,0,0,0,0,0,0,Passenger,Kottayam Ernakulam Passenger,56390
229.0,415.0,33.10843373493976,0,28,12.22707423580786,2,1,NWR,1,0,0,0,0,0,0,Passenger,Loharu - Jaipur Passenger Spl (MG),02082
229.0,400.0,34.35,0,28,12.22707423580786,23,1,NWR,1,0,0,0,0,0,0,Passenger,Jaipur-Loharu MG Passenger Special,02083
